1	;0.490167	;0.426952	;1.01979
2	;0.686744	;-0.0266719	;0.738326
3	;0.686744	;-0.0266719	;0.738326
4	;0.686744	;-0.0266719	;0.738326
5	;0.686744	;-0.0266719	;0.738326
6	;0.754792	;-0.0254456	;0.631563
7	;0.754792	;-0.0254456	;0.631563
8	;0.799499	;0.175656	;0.501768
9	;0.799499	;0.175656	;0.501768
10	;0.799499	;0.175656	;0.501768
11	;0.799499	;0.175656	;0.501768
12	;0.799499	;0.175656	;0.501768
13	;0.799499	;0.175656	;0.501768
14	;0.799499	;0.175656	;0.501768
15	;0.799499	;0.175656	;0.501768
16	;0.799499	;0.175656	;0.501768
17	;0.799499	;0.175656	;0.501768
18	;0.799499	;0.175656	;0.501768
19	;0.799499	;0.175656	;0.501768
20	;0.799499	;0.175656	;0.501768
21	;0.799499	;0.175656	;0.501768
22	;0.799499	;0.175656	;0.501768
23	;0.799499	;0.175656	;0.501768
24	;0.799499	;0.175656	;0.501768
25	;0.799499	;0.175656	;0.501768
26	;0.799499	;0.175656	;0.501768
27	;0.799499	;0.175656	;0.501768
28	;0.799499	;0.175656	;0.501768
29	;0.799499	;0.175656	;0.501768
30	;0.799499	;0.175656	;0.501768
31	;0.799499	;0.175656	;0.501768
32	;0.799499	;0.175656	;0.501768
33	;0.799499	;0.175656	;0.501768
34	;0.912541	;0.0538015	;0.384747
35	;0.912541	;0.0538015	;0.384747
36	;0.912541	;0.0538015	;0.384747
37	;0.912541	;0.0538015	;0.384747
38	;0.912541	;0.0538015	;0.384747
39	;0.912541	;0.0538015	;0.384747
40	;0.912541	;0.0538015	;0.384747
41	;0.912541	;0.0538015	;0.384747
42	;0.912541	;0.0538015	;0.384747
43	;0.919585	;0.0541642	;0.37639
44	;0.928042	;0.0628393	;0.363659
45	;0.928042	;0.0628393	;0.363659
46	;0.928042	;0.0628393	;0.363659
47	;0.928042	;0.0628393	;0.363659
48	;0.972311	;0.0272664	;0.328398
49	;0.98081	;0.0186526	;0.323241
50	;0.98081	;0.0186526	;0.323241
51	;0.98081	;0.0186526	;0.323241
52	;0.98081	;0.0186526	;0.323241
53	;0.98081	;0.0186526	;0.323241
54	;0.98081	;0.0186526	;0.323241
55	;0.98081	;0.0186526	;0.323241
56	;0.98081	;0.0186526	;0.323241
57	;0.98081	;0.0186526	;0.323241
58	;0.98081	;0.0186526	;0.323241
59	;0.98081	;0.0186526	;0.323241
60	;0.98081	;0.0186526	;0.323241
61	;0.98081	;0.0186526	;0.323241
62	;0.98081	;0.0186526	;0.323241
63	;0.98081	;0.0186526	;0.323241
64	;0.98081	;0.0186526	;0.323241
65	;0.98081	;0.0186526	;0.323241
66	;0.98081	;0.0186526	;0.323241
67	;0.98081	;0.0186526	;0.323241
68	;0.98081	;0.0186526	;0.323241
69	;0.98081	;0.0186526	;0.323241
70	;0.98081	;0.0186526	;0.323241
71	;0.98081	;0.0186526	;0.323241
72	;0.98081	;0.0186526	;0.323241
73	;0.98081	;0.0186526	;0.323241
74	;0.98081	;0.0186526	;0.323241
75	;0.98081	;0.0186526	;0.323241
76	;0.98081	;0.0186526	;0.323241
77	;0.98081	;0.0186526	;0.323241
78	;0.98081	;0.0186526	;0.323241
79	;0.98081	;0.0186526	;0.323241
80	;0.98081	;0.0186526	;0.323241
81	;0.980866	;0.0186755	;0.323173
82	;0.980866	;0.0186755	;0.323173
83	;0.980866	;0.0186755	;0.323173
84	;0.980866	;0.0186755	;0.323173
85	;0.980913	;0.0185824	;0.323166
86	;0.980913	;0.0185824	;0.323166
87	;0.980913	;0.0185824	;0.323166
88	;0.980913	;0.0185824	;0.323166
89	;0.998017	;-0.00110784	;0.315043
90	;0.998017	;-0.00110784	;0.315043
91	;0.998017	;-0.00110784	;0.315043
92	;0.998017	;-0.00110784	;0.315043
93	;0.998017	;-0.00110784	;0.315043
94	;0.998017	;-0.00110784	;0.315043
95	;0.999041	;0.000198201	;0.313361
96	;0.999041	;0.000198201	;0.313361
97	;0.999041	;0.000198201	;0.313361
98	;0.999041	;0.000198201	;0.313361
