1	;35.087	;2.60978	;86.9986	;40.2882	;274144
2	;18.477	;3.56295	;85.9717	;10.3057	;70749
3	;18.477	;3.56295	;85.9717	;10.3057	;70749
4	;18.477	;3.56295	;85.9717	;10.3057	;70749
5	;18.477	;3.56295	;85.9717	;10.3057	;70749
6	;18.477	;3.56295	;85.9717	;10.3057	;70749
7	;18.477	;3.56295	;85.9717	;10.3057	;70749
8	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
9	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
10	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
11	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
12	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
13	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
14	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
15	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
16	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
17	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
18	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
19	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
20	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
21	;6.16263	;1.07767	;66.9623	;59.8672	;32546.6
22	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
23	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
24	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
25	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
26	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
27	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
28	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
29	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
30	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
31	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
32	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
33	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
34	;6.109	;1.08393	;66.3648	;60.0334	;32129.9
35	;4.96721	;1.04544	;60.276	;74.1503	;27972
36	;4.15862	;1.42735	;59.6905	;67.2376	;25830.2
37	;4.15862	;1.42735	;59.6905	;67.2376	;25830.2
38	;4.15862	;1.42735	;59.6905	;67.2376	;25830.2
39	;4.15862	;1.42735	;59.6905	;67.2376	;25830.2
40	;4.15862	;1.42735	;59.6905	;67.2376	;25830.2
41	;4.28533	;1.46144	;59.4341	;59.1717	;24507.1
42	;4.28533	;1.46144	;59.4341	;59.1717	;24507.1
43	;4.28533	;1.46144	;59.4341	;59.1717	;24507.1
44	;4.28533	;1.46144	;59.4341	;59.1717	;24507.1
45	;4.28533	;1.46144	;59.4341	;59.1717	;24507.1
46	;4.28533	;1.46144	;59.4341	;59.1717	;24507.1
47	;4.30616	;1.05574	;60.7909	;59.4505	;21428.5
48	;4.30616	;1.05574	;60.7909	;59.4505	;21428.5
49	;4.30616	;1.05574	;60.7909	;59.4505	;21428.5
50	;4.30616	;1.05574	;60.7909	;59.4505	;21428.5
51	;4.30616	;1.05574	;60.7909	;59.4505	;21428.5
52	;4.30616	;1.05574	;60.7909	;59.4505	;21428.5
53	;4.30616	;1.05574	;60.7909	;59.4505	;21428.5
54	;1.469	;1.91097	;60.2595	;53.8175	;19570.4
55	;1.469	;1.91097	;60.2595	;53.8175	;19570.4
56	;1.469	;1.91097	;60.2595	;53.8175	;19570.4
57	;1.469	;1.91097	;60.2595	;53.8175	;19570.4
58	;1.469	;1.91097	;60.2595	;53.8175	;19570.4
59	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
60	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
