1	;0.064414	;0.491769	;11.9774	;0.0285199
2	;0.0548734	;0.46787	;10.6668	;0.017845
3	;0.0528331	;0.39434	;11.8588	;0.0152549
4	;0.0528331	;0.39434	;11.8588	;0.0152549
5	;0.0528331	;0.39434	;11.8588	;0.0152549
6	;0.0528331	;0.39434	;11.8588	;0.0152549
7	;0.0528331	;0.39434	;11.8588	;0.0152549
8	;0.0528331	;0.39434	;11.8588	;0.0152549
9	;0.0528331	;0.39434	;11.8588	;0.0152549
10	;0.0528331	;0.39434	;11.8588	;0.0152549
11	;0.0528331	;0.39434	;11.8588	;0.0152549
12	;0.0528331	;0.39434	;11.8588	;0.0152549
13	;0.0528331	;0.39434	;11.8588	;0.0152549
14	;0.0528331	;0.39434	;11.8588	;0.0152549
15	;0.0528331	;0.39434	;11.8588	;0.0152549
16	;0.0528331	;0.39434	;11.8588	;0.0152549
17	;0.0528331	;0.39434	;11.8588	;0.0152549
18	;0.0528331	;0.39434	;11.8588	;0.0152549
19	;0.0528331	;0.39434	;11.8588	;0.0152549
20	;0.0528331	;0.39434	;11.8588	;0.0152549
21	;0.0528331	;0.39434	;11.8588	;0.0152549
22	;0.0528331	;0.39434	;11.8588	;0.0152549
23	;0.0528331	;0.39434	;11.8588	;0.0152549
24	;0.0528331	;0.39434	;11.8588	;0.0152549
25	;0.0528331	;0.39434	;11.8588	;0.0152549
26	;0.053313	;0.401975	;11.2563	;0.0151456
27	;0.053313	;0.401975	;11.2563	;0.0151456
28	;0.053313	;0.401975	;11.2563	;0.0151456
29	;0.053313	;0.401975	;11.2563	;0.0151456
30	;0.053313	;0.401975	;11.2563	;0.0151456
31	;0.053313	;0.401975	;11.2563	;0.0151456
32	;0.053313	;0.401975	;11.2563	;0.0151456
33	;0.053313	;0.401975	;11.2563	;0.0151456
34	;0.053313	;0.401975	;11.2563	;0.0151456
35	;0.053313	;0.401975	;11.2563	;0.0151456
36	;0.0534019	;0.386727	;10.7977	;0.014114
37	;0.0534019	;0.386727	;10.7977	;0.014114
38	;0.0534019	;0.386727	;10.7977	;0.014114
