1	;0.840113	;1.53149	;4.0505	;1.18433	;4.77859
2	;0.356426	;3.48352	;5.39763	;0.74609	;3.87622
3	;0.356426	;3.48352	;5.39763	;0.74609	;3.87622
4	;0.225508	;4.58736	;9.78358	;0.402128	;3.77586
5	;0.225508	;4.58736	;9.78358	;0.402128	;3.77586
6	;0.5333	;2.40867	;6.22702	;0.599257	;3.70258
7	;0.5333	;2.40867	;6.22702	;0.599257	;3.70258
8	;0.5333	;2.40867	;6.22702	;0.599257	;3.70258
9	;0.5333	;2.40867	;6.22702	;0.599257	;3.70258
10	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
11	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
12	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
13	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
14	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
15	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
16	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
17	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
18	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
19	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
20	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
21	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
22	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
23	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
24	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
25	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
26	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
27	;0.533011	;2.00102	;5.82841	;0.548355	;3.08836
28	;0.16887	;5.11692	;8.68065	;0.25758	;2.21764
29	;0.16887	;5.11692	;8.68065	;0.25758	;2.21764
30	;0.16887	;5.11692	;8.68065	;0.25758	;2.21764
31	;0.16887	;5.11692	;8.68065	;0.25758	;2.21764
32	;0.16887	;5.11692	;8.68065	;0.25758	;2.21764
