1	;7.17604	;20.3529	;31.9023	;37.044	;41.8209	;8.62968
2	;24.9248	;15.998	;31.9227	;35.1821	;11.3237	;7.44752
3	;20.8681	;33.3768	;13.7787	;2.04686	;4.3276	;4.64244
4	;20.8681	;33.3768	;13.7787	;2.04686	;4.3276	;4.64244
5	;20.8681	;33.3768	;13.7787	;2.04686	;4.3276	;4.64244
6	;20.8681	;33.3768	;13.7787	;2.04686	;4.3276	;4.64244
7	;20.8681	;33.3768	;13.7787	;2.04686	;4.3276	;4.64244
8	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
9	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
10	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
11	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
12	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
13	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
14	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
15	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
16	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
17	;8.55471	;6.65172	;8.553	;32.5279	;3.60172	;3.73708
18	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
19	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
20	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
21	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
22	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
23	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
24	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
25	;8.99385	;11.6901	;12.6921	;11.5159	;4.56137	;3.08589
26	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
27	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
28	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
29	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
30	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
31	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
32	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
33	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
34	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
35	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
36	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
37	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
38	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
39	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
40	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
41	;9.55937	;11.4985	;13.0408	;10.6063	;4.54056	;3.07293
42	;9.77763	;14.3575	;11.0249	;8.38159	;4.52945	;2.99963
43	;10.7755	;16.2337	;8.9407	;7.46123	;4.22898	;2.97274
44	;10.7755	;16.2337	;8.9407	;7.46123	;4.22898	;2.97274
45	;10.7755	;16.2337	;8.9407	;7.46123	;4.22898	;2.97274
46	;10.7755	;16.2337	;8.9407	;7.46123	;4.22898	;2.97274
47	;10.7755	;16.2337	;8.9407	;7.46123	;4.22898	;2.97274
48	;10.7755	;16.2337	;8.9407	;7.46123	;4.22898	;2.97274
49	;11.0275	;16.3435	;7.24329	;7.81835	;4.22888	;2.91168
50	;10.9049	;16.4392	;6.56332	;8.02311	;4.22885	;2.88035
51	;12.2514	;8.62777	;4.49904	;4.63262	;2.58522	;2.03399
52	;12.2514	;8.62777	;4.49904	;4.63262	;2.58522	;2.03399
53	;8.52367	;8.62777	;4.49904	;4.63262	;2.58522	;1.80138
54	;8.52367	;8.62777	;4.49904	;4.63262	;2.58522	;1.80138
55	;8.52367	;8.62777	;4.49904	;4.63262	;2.58522	;1.80138
56	;8.52367	;8.62777	;4.49904	;4.63262	;2.58522	;1.80138
57	;8.52367	;8.62777	;4.49904	;4.63262	;2.58522	;1.80138
58	;8.52367	;8.62777	;4.49904	;4.63262	;2.58522	;1.80138
59	;9.03254	;8.46631	;4.51528	;4.90194	;1.79329	;1.79146
60	;9.03254	;8.46631	;4.51528	;4.90194	;1.79329	;1.79146
61	;9.03254	;8.46631	;4.51528	;4.90194	;1.79329	;1.79146
62	;9.03254	;8.46631	;4.51528	;4.90194	;1.79329	;1.79146
63	;9.03254	;8.46631	;4.51528	;4.90194	;1.79329	;1.79146
64	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
65	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
66	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
67	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
68	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
69	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
70	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
71	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
72	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
73	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
74	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
75	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
76	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
77	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
78	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
79	;9.03253	;8.46631	;4.51528	;4.90194	;1.79328	;1.79146
80	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
81	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
82	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
83	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
84	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
85	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
86	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
87	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
88	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
89	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
90	;8.92955	;8.46482	;4.51473	;4.90428	;1.79321	;1.78505
91	;8.33039	;8.38946	;4.46744	;3.47862	;3.33752	;1.74741
92	;8.33039	;8.38946	;4.46744	;3.47862	;3.33752	;1.74741
93	;8.33039	;8.38946	;4.46744	;3.47862	;3.33752	;1.74741
94	;8.50078	;8.46634	;4.45306	;3.47491	;2.51788	;1.71057
95	;8.50078	;8.46634	;4.45306	;3.47491	;2.51788	;1.71057
96	;8.50078	;8.46634	;4.45306	;3.47491	;2.51788	;1.71057
97	;7.55987	;8.47037	;4.93612	;3.51544	;2.60333	;1.69011
98	;7.05746	;8.47373	;4.54602	;3.52901	;2.64539	;1.6381
99	;7.05746	;8.47373	;4.54602	;3.52901	;2.64539	;1.6381
100	;7.05746	;8.47373	;4.54602	;3.52901	;2.64539	;1.6381
101	;7.05746	;8.47373	;4.54602	;3.52901	;2.64539	;1.6381
102	;7.02641	;8.51277	;4.54658	;3.48791	;2.59841	;1.63314
103	;7.02641	;8.51277	;4.54658	;3.48791	;2.59841	;1.63314
104	;7.02641	;8.51277	;4.54658	;3.48791	;2.59841	;1.63314
105	;7.02641	;8.51277	;4.54658	;3.48791	;2.59841	;1.63314
106	;7.0038	;8.4621	;4.54659	;3.52831	;2.60264	;1.63135
107	;7.0041	;8.4464	;4.54655	;3.54074	;2.59874	;1.63092
108	;7.02563	;8.44663	;4.60983	;3.45542	;2.59853	;1.63089
109	;7.02563	;8.44663	;4.60983	;3.45542	;2.59853	;1.63089
110	;7.02017	;8.44654	;4.61724	;3.44186	;2.59853	;1.63016
111	;7.01548	;8.4466	;4.62257	;3.44035	;2.59853	;1.63011
112	;7.01276	;8.44661	;4.61756	;3.44107	;2.59853	;1.62967
113	;7.01172	;8.44661	;4.61442	;3.44159	;2.59853	;1.62944
114	;7.01204	;8.44661	;4.61174	;3.44123	;2.59853	;1.62927
115	;7.01177	;8.4466	;4.61008	;3.44111	;2.59853	;1.62914
116	;7.01253	;8.65605	;4.60841	;3.44468	;2.31246	;1.62453
117	;7.01253	;8.65605	;4.60841	;3.44468	;2.31246	;1.62453
118	;7.01253	;8.65605	;4.60841	;3.44468	;2.31246	;1.62453
119	;7.01251	;8.65746	;4.60848	;3.44406	;2.30636	;1.6242
120	;7.01253	;8.65646	;4.60849	;3.4436	;2.30559	;1.62406
121	;7.01218	;8.65026	;4.60974	;3.42666	;2.30209	;1.62246
122	;7.01218	;8.65026	;4.60974	;3.42666	;2.30209	;1.62246
123	;7.0121	;8.64082	;4.61043	;3.42692	;2.30105	;1.62186
124	;7.01227	;8.63624	;4.61004	;3.42933	;2.30165	;1.62175
125	;7.01227	;8.63624	;4.61004	;3.42933	;2.30165	;1.62175
126	;7.01227	;8.63807	;4.60984	;3.21014	;2.46219	;1.61819
127	;7.01227	;8.63807	;4.60984	;3.21014	;2.46219	;1.61819
128	;7.01227	;8.63807	;4.60984	;3.21014	;2.46219	;1.61819
129	;7.01227	;8.63807	;4.60984	;3.21014	;2.46219	;1.61819
130	;7.01227	;8.63807	;4.60984	;3.21014	;2.46219	;1.61819
131	;7.01227	;8.63807	;4.60984	;3.21014	;2.46219	;1.61819
132	;7.01227	;8.63805	;4.6096	;3.20777	;2.46133	;1.61797
133	;7.01227	;8.63805	;4.6096	;3.20777	;2.46133	;1.61797
134	;7.01227	;8.63746	;4.6096	;3.20773	;2.46162	;1.61795
135	;7.0125	;8.63781	;4.60958	;3.20725	;2.46141	;1.61794
136	;7.0125	;8.63781	;4.60958	;3.20725	;2.46141	;1.61794
137	;7.0125	;8.63781	;4.60958	;3.20725	;2.46141	;1.61794
138	;7.0125	;8.63781	;4.60958	;3.20725	;2.46139	;1.61794
139	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
140	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
141	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
142	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
143	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
144	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
145	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
146	;7.0125	;8.63781	;4.60958	;3.20725	;2.46138	;1.61794
147	;7.0125	;8.63781	;4.60957	;3.20722	;2.46139	;1.61794
148	;7.0125	;8.63781	;4.60957	;3.20721	;2.46139	;1.61794
149	;7.0125	;8.63781	;4.60957	;3.2072	;2.46139	;1.61794
150	;7.0125	;8.63781	;4.60957	;3.20721	;2.46139	;1.61794

1	;8.46516	;13.2936	;12.1649	;28.2462	;42.2026	;6.51284
2	;19.8973	;21.1082	;5.55571	;4.88537	;21.4236	;4.5471
3	;15.9325	;11.9315	;4.73397	;2.46	;20.6761	;3.47781
4	;13.161	;7.75484	;6.54177	;4.2883	;10.464	;2.6339
5	;10.452	;7.98595	;6.30192	;2.63074	;10.8141	;2.38273
6	;9.2656	;8.25916	;6.75306	;2.72636	;9.49695	;2.27767
7	;8.86892	;8.1217	;6.64296	;3.719	;4.26133	;1.97271
8	;7.893	;8.01963	;6.64281	;3.70967	;3.62677	;1.86525
9	;6.4945	;9.25083	;6.6571	;3.68643	;2.56354	;1.78791
10	;6.42476	;9.55853	;6.65809	;3.70348	;1.73084	;1.75192
11	;6.85242	;8.18416	;6.65651	;3.93782	;2.08964	;1.72976
12	;7.12261	;7.7602	;5.75469	;4.32094	;2.43808	;1.70954
13	;7.09068	;7.90289	;6.14077	;3.51959	;2.66772	;1.70487
14	;6.55937	;7.86439	;5.68737	;3.79816	;2.8961	;1.67266
15	;6.38909	;8.07711	;5.71497	;3.73055	;2.73103	;1.66251
16	;6.44866	;7.9431	;5.90121	;3.72443	;2.60416	;1.66119
17	;6.40044	;8.00761	;5.77466	;3.72619	;2.65273	;1.65745
18	;6.45015	;8.08223	;5.72307	;3.45331	;2.65263	;1.64495
19	;6.45015	;8.08223	;5.72307	;3.45331	;2.65263	;1.64495
20	;6.45563	;8.10773	;5.66202	;3.46292	;2.65708	;1.64395
21	;6.45498	;8.11333	;5.60412	;3.44851	;2.66817	;1.64044
22	;6.455	;8.11074	;5.59977	;3.46185	;2.6587	;1.64025
23	;6.45501	;8.11157	;5.59914	;3.45984	;2.65409	;1.63985
24	;6.45501	;8.11178	;5.59858	;3.45921	;2.65261	;1.6397
25	;6.45429	;8.1117	;5.5976	;3.46005	;2.65216	;1.63961
26	;6.45429	;8.1117	;5.5976	;3.46005	;2.65216	;1.63961
27	;6.45469	;8.11169	;5.59831	;3.45829	;2.65186	;1.63955
28	;6.45469	;8.11169	;5.59831	;3.45829	;2.65186	;1.63955
29	;6.45474	;8.11301	;5.59835	;3.45829	;2.64907	;1.63946
30	;6.45557	;8.11366	;5.59835	;3.45849	;2.64707	;1.63944
31	;6.45542	;8.22242	;5.5984	;3.29903	;2.64966	;1.63644
32	;6.45539	;8.31234	;5.59839	;3.14949	;2.64762	;1.63259
33	;6.45537	;8.2997	;5.59829	;3.1235	;2.64848	;1.63022
34	;6.45537	;8.30319	;5.59834	;3.11837	;2.64868	;1.63014
35	;6.45538	;8.30352	;5.5984	;3.11459	;2.6485	;1.62991
36	;6.45539	;8.30469	;5.59843	;3.11279	;2.64757	;1.62982
37	;6.45539	;8.30469	;5.59843	;3.11279	;2.64757	;1.62982
38	;6.45541	;8.30515	;5.59	;3.11764	;2.64807	;1.62965
39	;6.45542	;8.36444	;5.5942	;3.11746	;2.56605	;1.62849
40	;6.45543	;8.38375	;5.59586	;3.11787	;2.53526	;1.6279
41	;6.45545	;8.38617	;5.59504	;3.11571	;2.50145	;1.62576
42	;6.45547	;8.38686	;5.59604	;3.11709	;2.4934	;1.62545
43	;6.45544	;8.40468	;5.5957	;3.11986	;2.47181	;1.62536
44	;6.45545	;8.40531	;5.59517	;3.11907	;2.46481	;1.62488
45	;6.45546	;8.40369	;5.59426	;3.11916	;2.46404	;1.62468
46	;6.45546	;8.40369	;5.59426	;3.11916	;2.46404	;1.62468
47	;6.45546	;8.40376	;5.59426	;3.11895	;2.46409	;1.62468
48	;6.45546	;8.40377	;5.59425	;3.11894	;2.46402	;1.62467
49	;6.45546	;8.40409	;5.59342	;3.11901	;2.46412	;1.62465
50	;6.45546	;8.40409	;5.59342	;3.11901	;2.46412	;1.62465
51	;6.45546	;8.40409	;5.59342	;3.11901	;2.46412	;1.62465
52	;6.45546	;8.40408	;5.59311	;3.11902	;2.46431	;1.62465
53	;6.45546	;8.40408	;5.59311	;3.11902	;2.46431	;1.62465
54	;6.45546	;8.40407	;5.59305	;3.11902	;2.46431	;1.62464
55	;6.45546	;8.40408	;5.59304	;3.11902	;2.46431	;1.62464
56	;6.45546	;8.40407	;5.59304	;3.11902	;2.46431	;1.62464
57	;6.45546	;8.40407	;5.59304	;3.11902	;2.46431	;1.62464
58	;6.45551	;8.40407	;5.59302	;3.11902	;2.46427	;1.62464
59	;6.45548	;8.40409	;5.59299	;3.11902	;2.46431	;1.62464
60	;6.45546	;8.4041	;5.59297	;3.11902	;2.46432	;1.62464
61	;6.45548	;8.4041	;5.59297	;3.11902	;2.46429	;1.62464
62	;6.45548	;8.4041	;5.59297	;3.11902	;2.46429	;1.62464
63	;6.45548	;8.4041	;5.59297	;3.11902	;2.46429	;1.62464
64	;6.45549	;8.4041	;5.59297	;3.11902	;2.46429	;1.62464
65	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
66	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
67	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
68	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
69	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
70	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
71	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
72	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
73	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
74	;6.45549	;8.4041	;5.59297	;3.11902	;2.46428	;1.62464
75	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
76	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
77	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
78	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
79	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
80	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
81	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
82	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
83	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
84	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
85	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
86	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
87	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
88	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
89	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
90	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
91	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
92	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
93	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
94	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
95	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
96	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
97	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
98	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
99	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
100	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
101	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
102	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
103	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
104	;6.45549	;8.4041	;5.59296	;3.11902	;2.46428	;1.62464
105	;6.50256	;8.41333	;5.54496	;3.10623	;2.46257	;1.62425
106	;6.49178	;8.414	;5.51615	;3.11976	;2.46326	;1.62271
107	;6.49176	;8.41656	;5.50727	;3.1193	;2.46278	;1.62225
108	;6.49954	;8.41893	;5.48868	;3.12199	;2.46327	;1.62193
109	;6.49953	;8.42041	;5.47817	;3.12412	;2.46305	;1.62148
110	;6.50271	;8.42029	;5.46983	;3.12822	;2.46312	;1.62141
111	;6.49999	;8.4214	;5.45796	;3.13898	;2.46313	;1.62124
112	;6.50376	;8.4208	;5.45918	;3.13172	;2.46312	;1.62106
113	;6.50907	;8.42047	;5.44885	;3.13453	;2.46314	;1.62091
114	;6.5061	;8.42033	;5.44794	;3.13778	;2.46315	;1.62086
115	;6.5061	;8.42033	;5.44794	;3.13778	;2.46315	;1.62086
116	;6.50662	;8.42033	;5.44724	;3.1378	;2.46316	;1.62085
117	;6.50654	;8.42018	;5.44739	;3.13784	;2.46316	;1.62085
118	;6.5067	;8.42017	;5.4471	;3.13785	;2.46315	;1.62084
119	;6.50684	;8.42015	;5.44662	;3.13788	;2.46316	;1.62082
120	;6.50695	;8.42016	;5.44623	;3.1381	;2.46316	;1.62082
121	;6.50705	;8.42016	;5.44583	;3.13821	;2.46315	;1.6208
122	;6.50709	;8.42036	;5.44559	;3.13814	;2.46314	;1.6208
123	;6.50709	;8.42048	;5.4453	;3.13814	;2.46314	;1.62079
124	;6.50709	;8.42059	;5.44507	;3.13817	;2.46314	;1.62078
125	;6.50709	;8.42068	;5.44494	;3.13816	;2.46314	;1.62078
126	;6.50709	;8.42071	;5.44484	;3.13816	;2.46314	;1.62077
127	;6.5071	;8.42071	;5.44477	;3.13816	;2.46313	;1.62077
