1	;47.439	;82.2188	;1.00363	;3.03449	;2.94635e+19
2	;48.3003	;75.2917	;1.03704	;3.75887	;2.90578e+19
3	;48.8952	;76.6975	;0.996484	;2.50428	;2.85216e+19
4	;48.8952	;76.6975	;0.996484	;2.50428	;2.85216e+19
5	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
6	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
7	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
8	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
9	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
10	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
11	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
12	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
13	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
14	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
15	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
16	;48.1606	;78.9242	;1.00429	;4.62114	;2.77942e+19
17	;49.0224	;77.107	;1.00638	;4.80126	;2.77572e+19
18	;49.0224	;77.107	;1.00638	;4.80126	;2.77572e+19
19	;49.0224	;77.107	;1.00638	;4.80126	;2.77572e+19
20	;49.0224	;77.107	;1.00638	;4.80126	;2.77572e+19
21	;49.0224	;77.107	;1.00638	;4.80126	;2.77572e+19
22	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
23	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
24	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
25	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
26	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
27	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
28	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
29	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
30	;49.0668	;76.3968	;0.99645	;4.31869	;2.73255e+19
31	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
32	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
33	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
34	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
35	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
36	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
37	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
38	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
39	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
40	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
41	;49.3161	;76.2143	;0.997897	;4.88422	;2.71363e+19
42	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
43	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
44	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
45	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
46	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
47	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
48	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
49	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
50	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
51	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
52	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
53	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
54	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
55	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
56	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
57	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
58	;47.3944	;80.0099	;0.990795	;4.83602	;2.67671e+19
59	;47.3946	;80.0097	;0.990791	;4.83604	;2.6767e+19
60	;47.3349	;77.8718	;0.994682	;4.83995	;2.62426e+19
61	;47.3349	;77.8718	;0.994682	;4.83995	;2.62426e+19
62	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
63	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
64	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
65	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
66	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
67	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
68	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
69	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
70	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
71	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
72	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
73	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
74	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
75	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
76	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
77	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
78	;47.3569	;78.3393	;0.990217	;4.87106	;2.61512e+19
79	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
80	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
81	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
82	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
83	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
84	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
85	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
86	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
87	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
88	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
89	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
90	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
91	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
92	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
93	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
94	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
95	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
96	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
97	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
98	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
99	;47.4979	;77.9439	;0.990217	;4.9577	;2.60595e+19
100	;47.4422	;77.9541	;0.990444	;4.94604	;2.60465e+19
101	;47.4422	;77.9541	;0.990444	;4.94604	;2.60465e+19
102	;47.4422	;77.9541	;0.990444	;4.94604	;2.60465e+19
103	;47.4445	;77.4447	;0.993218	;4.94542	;2.6031e+19
104	;47.4445	;77.4447	;0.993218	;4.94542	;2.6031e+19
105	;47.4817	;77.4262	;0.991309	;4.94602	;2.59484e+19
106	;47.4817	;77.4262	;0.991309	;4.94602	;2.59484e+19
107	;47.4817	;77.4262	;0.991309	;4.94602	;2.59484e+19
108	;47.4817	;77.4262	;0.991309	;4.94602	;2.59484e+19
109	;47.593	;76.8987	;0.991309	;4.94602	;2.58512e+19
110	;47.6731	;76.4551	;0.991309	;4.94602	;2.57609e+19
111	;47.6731	;76.4551	;0.991309	;4.94602	;2.57609e+19
112	;47.6731	;76.4551	;0.991309	;4.94602	;2.57609e+19
113	;47.6731	;76.4551	;0.991309	;4.94602	;2.57609e+19
114	;47.6654	;76.4558	;0.991195	;4.94759	;2.57493e+19
115	;47.6616	;76.3607	;0.990282	;4.95882	;2.56622e+19
116	;47.4776	;76.2683	;0.990667	;4.83807	;2.56127e+19
117	;47.4776	;76.2683	;0.990667	;4.83807	;2.56127e+19
118	;47.4776	;76.2683	;0.990667	;4.83807	;2.56127e+19
119	;47.4648	;76.2779	;0.99067	;4.83255	;2.56112e+19
120	;47.4648	;76.2779	;0.99067	;4.83255	;2.56112e+19
121	;47.4648	;75.0315	;0.99067	;4.2381	;2.5593e+19
122	;47.4641	;75.2302	;0.99067	;4.33999	;2.5591e+19
123	;47.4641	;75.2302	;0.99067	;4.33999	;2.5591e+19
124	;47.4641	;75.2302	;0.99067	;4.33999	;2.5591e+19
125	;47.2679	;75.397	;0.990665	;4.32982	;2.55257e+19
126	;47.2679	;75.397	;0.990665	;4.32982	;2.55257e+19
127	;47.1622	;75.4256	;0.990669	;4.33133	;2.54671e+19
128	;47.0629	;75.4273	;0.990668	;4.32383	;2.54096e+19
129	;47.0629	;75.4273	;0.990668	;4.32383	;2.54096e+19
130	;47.0629	;75.4273	;0.990668	;4.32383	;2.54096e+19
131	;47.0703	;75.1466	;0.990658	;4.32598	;2.53238e+19
132	;47.0703	;75.1466	;0.990658	;4.32598	;2.53238e+19
133	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
134	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
135	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
136	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
137	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
138	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
139	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
140	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
141	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
142	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
143	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
144	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
145	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
146	;47.0551	;75.0721	;0.990651	;4.32708	;2.52897e+19
147	;47.0551	;75.0721	;0.99065	;4.32709	;2.52896e+19
