1	;0.257426	;1.61854	;11.3768	;7.80198e+14
2	;0.25	;1.52159	;15	;6.914e+14
3	;0.25	;1.52159	;15	;6.914e+14
4	;0.25	;1.52159	;15	;6.914e+14
5	;0.25	;1.52159	;15	;6.914e+14
6	;0.25	;1.52159	;15	;6.914e+14
7	;0.25	;1.52159	;15	;6.914e+14
8	;0.25	;1.52159	;15	;6.914e+14
9	;0.25	;1.73754	;15	;6.73631e+14
10	;0.25	;1.73754	;15	;6.73631e+14
11	;0.25	;1.73754	;15	;6.73631e+14
12	;0.25	;1.73754	;15	;6.73631e+14
13	;0.25	;1.73754	;15	;6.73631e+14
14	;0.25	;1.688	;15	;6.68739e+14
15	;0.25	;1.688	;15	;6.68739e+14
16	;0.25	;1.688	;15	;6.68739e+14
17	;0.25	;1.688	;15	;6.68739e+14
18	;0.25	;1.688	;15	;6.68739e+14
19	;0.25	;1.688	;15	;6.68739e+14
20	;0.25	;1.64642	;14.9385	;6.68516e+14
21	;0.25	;1.64642	;14.9385	;6.68516e+14
22	;0.25	;1.64642	;14.9385	;6.68516e+14
23	;0.25	;1.64642	;14.9385	;6.68516e+14
24	;0.25	;1.64642	;14.9385	;6.68516e+14
25	;0.25	;1.64642	;14.9385	;6.68516e+14
26	;0.25	;1.64779	;15	;6.67953e+14
27	;0.25	;1.64779	;15	;6.67953e+14
28	;0.25	;1.64779	;15	;6.67953e+14
29	;0.25	;1.64779	;15	;6.67953e+14
30	;0.25	;1.64779	;15	;6.67953e+14
31	;0.25	;1.64779	;15	;6.67953e+14
32	;0.25	;1.64779	;15	;6.67953e+14
33	;0.25	;1.65022	;14.9998	;6.6791e+14
34	;0.25	;1.65022	;14.9998	;6.6791e+14
35	;0.25	;1.66225	;15	;6.6787e+14
36	;0.25	;1.66225	;15	;6.6787e+14
37	;0.25	;1.66225	;15	;6.6787e+14
38	;0.25	;1.66225	;15	;6.6787e+14
39	;0.25	;1.66225	;15	;6.6787e+14
40	;0.25	;1.66225	;15	;6.6787e+14
41	;0.25	;1.65796	;15	;6.6785e+14
42	;0.25	;1.65796	;15	;6.6785e+14
43	;0.25	;1.65796	;15	;6.6785e+14
44	;0.25	;1.65796	;15	;6.6785e+14
45	;0.25	;1.65796	;15	;6.6785e+14
46	;0.25	;1.65796	;15	;6.6785e+14
47	;0.25	;1.65796	;15	;6.6785e+14
48	;0.25	;1.65796	;15	;6.6785e+14
49	;0.25	;1.65796	;15	;6.6785e+14
50	;0.25	;1.65796	;15	;6.6785e+14
51	;0.25	;1.65796	;15	;6.6785e+14
52	;0.25	;1.65796	;15	;6.6785e+14
53	;0.25	;1.65796	;15	;6.6785e+14
54	;0.25	;1.65796	;15	;6.6785e+14
55	;0.25	;1.65796	;15	;6.6785e+14
56	;0.25	;1.65794	;15	;6.6785e+14
57	;0.25	;1.65794	;15	;6.6785e+14
58	;0.25	;1.65766	;15	;6.6785e+14
59	;0.25	;1.65766	;15	;6.6785e+14
60	;0.25	;1.65766	;15	;6.6785e+14
61	;0.25	;1.65766	;15	;6.6785e+14
62	;0.25	;1.65766	;15	;6.6785e+14
63	;0.25	;1.65766	;15	;6.6785e+14
64	;0.25	;1.65766	;15	;6.6785e+14
65	;0.25	;1.65766	;15	;6.6785e+14
66	;0.25	;1.65766	;15	;6.6785e+14
67	;0.25	;1.65766	;15	;6.6785e+14
68	;0.25	;1.65766	;15	;6.6785e+14
69	;0.25	;1.65766	;15	;6.6785e+14
70	;0.25	;1.65767	;15	;6.6785e+14
71	;0.25	;1.65767	;15	;6.6785e+14
72	;0.25	;1.65767	;15	;6.6785e+14
73	;0.25	;1.65769	;15	;6.6785e+14
74	;0.25	;1.65769	;15	;6.6785e+14
75	;0.25	;1.65774	;15	;6.6785e+14
76	;0.25	;1.65774	;15	;6.6785e+14
77	;0.25	;1.65774	;15	;6.6785e+14
78	;0.25	;1.65774	;15	;6.6785e+14
79	;0.25	;1.65774	;15	;6.6785e+14
80	;0.25	;1.65774	;15	;6.6785e+14
81	;0.25	;1.65774	;15	;6.6785e+14
82	;0.25	;1.65774	;15	;6.6785e+14
83	;0.25	;1.65774	;15	;6.6785e+14
84	;0.25	;1.65774	;15	;6.6785e+14
85	;0.25	;1.65774	;15	;6.6785e+14
86	;0.25	;1.65774	;15	;6.6785e+14
87	;0.25	;1.65778	;15	;6.6785e+14
88	;0.25	;1.65778	;15	;6.6785e+14
89	;0.25	;1.65777	;15	;6.6785e+14
90	;0.25	;1.65777	;15	;6.6785e+14
91	;0.25	;1.65776	;15	;6.6785e+14
92	;0.25	;1.65776	;15	;6.6785e+14
93	;0.25	;1.65776	;15	;6.6785e+14
94	;0.25	;1.65776	;15	;6.6785e+14
95	;0.25	;1.65776	;15	;6.6785e+14
96	;0.25	;1.65776	;15	;6.6785e+14
97	;0.25	;1.65776	;15	;6.6785e+14
98	;0.25	;1.65776	;15	;6.6785e+14
99	;0.25	;1.65776	;15	;6.6785e+14
100	;0.25	;1.65776	;15	;6.6785e+14
101	;0.25	;1.65776	;15	;6.6785e+14
102	;0.25	;1.65776	;15	;6.6785e+14
103	;0.25	;1.65776	;15	;6.6785e+14
104	;0.25	;1.65776	;15	;6.6785e+14
105	;0.25	;1.65776	;15	;6.6785e+14
106	;0.25	;1.65776	;15	;6.6785e+14
107	;0.25	;1.65776	;15	;6.6785e+14
108	;0.25	;1.65776	;15	;6.6785e+14
109	;0.25	;1.65776	;15	;6.6785e+14
110	;0.25	;1.65776	;15	;6.6785e+14
111	;0.25	;1.65776	;15	;6.6785e+14
112	;0.25	;1.65776	;15	;6.6785e+14
113	;0.25	;1.65776	;15	;6.6785e+14
114	;0.25	;1.65776	;15	;6.6785e+14
115	;0.25	;1.65776	;15	;6.6785e+14
116	;0.25	;1.65776	;15	;6.6785e+14
117	;0.25	;1.65776	;15	;6.6785e+14
118	;0.25	;1.65776	;15	;6.6785e+14
119	;0.25	;1.65776	;15	;6.6785e+14
120	;0.25	;1.65776	;15	;6.6785e+14
121	;0.25	;1.65776	;15	;6.6785e+14
122	;0.25	;1.65776	;15	;6.6785e+14
123	;0.25	;1.65776	;15	;6.6785e+14
